,precision,recall,f1-score,support
A,1.0,1.0,1.0,5.0
B,1.0,1.0,1.0,5.0
C,1.0,1.0,1.0,5.0
D,1.0,1.0,1.0,5.0
E,1.0,1.0,1.0,5.0
F,1.0,1.0,1.0,5.0
G,1.0,1.0,1.0,5.0
H,1.0,1.0,1.0,5.0
I,1.0,1.0,1.0,5.0
J,1.0,1.0,1.0,5.0
K,1.0,1.0,1.0,5.0
L,1.0,1.0,1.0,5.0
M,1.0,0.8,0.8888888888888888,5.0
N,1.0,1.0,1.0,5.0
O,1.0,1.0,1.0,5.0
P,1.0,1.0,1.0,5.0
Q,1.0,1.0,1.0,5.0
R,1.0,1.0,1.0,5.0
S,1.0,1.0,1.0,5.0
T,1.0,1.0,1.0,5.0
U,1.0,1.0,1.0,5.0
V,1.0,1.0,1.0,5.0
W,1.0,1.0,1.0,5.0
X,1.0,1.0,1.0,5.0
Y,1.0,1.0,1.0,5.0
Z,1.0,1.0,1.0,5.0
GAGAL_DETEKSI,0.0,0.0,0.0,0.0
accuracy,0.9923076923076923,0.9923076923076923,0.9923076923076923,0.9923076923076923
macro avg,0.9629629629629629,0.9555555555555556,0.9588477366255144,130.0
weighted avg,1.0,0.9923076923076923,0.9957264957264959,130.0
